"SYMBOL","logFC","adj.P.Val","GENENAME"
"CAMSAP2",1.38253012884615,5.45622141429305e-10,"calmodulin regulated spectrin associated protein family member 2"
"ENO2",1.6129781985641,5.56183900949234e-10,"enolase 2"
"NBL1",1.61720275866667,5.59470191930702e-10,"NBL1, DAN family BMP antagonist"
"MICOS10-NBL1",1.61720275866667,5.59470191930702e-10,"MICOS10-NBL1 readthrough"
"LAMC1",1.34763689030769,5.62512550481521e-10,"laminin subunit gamma 1"
"GSDME",1.34640951910256,5.70743474975353e-10,"gasdermin E"
"CCDC69",-1.30010504897436,6.09757411312416e-10,"coiled-coil domain containing 69"
"TUBB",1.05788952792307,6.17903377745642e-10,"tubulin beta class I"
"HIF1A",1.07613950458974,6.41967821290647e-10,"hypoxia inducible factor 1 subunit alpha"
"ZCCHC24",1.43545132830769,6.43168396912198e-10,"zinc finger CCHC-type containing 24"
"SPRY4",1.03591164010257,6.4354742635743e-10,"sprouty RTK signaling antagonist 4"
"MN1",1.81767873520513,6.62008888959505e-10,"MN1 proto-oncogene, transcriptional regulator"
"OSBPL10",2.21385095576923,7.04682486680301e-10,"oxysterol binding protein like 10"
"TMEFF1",1.24722195241026,7.05334289502469e-10,"transmembrane protein with EGF like and two follistatin like domains 1"
"MSANTD3-TMEFF1",1.24722195241026,7.05334289502469e-10,"MSANTD3-TMEFF1 readthrough"
"TGFBI",1.89345065423077,7.07725803158264e-10,"transforming growth factor beta induced"
"PFKP",1.52318442528206,7.18172632710674e-10,"phosphofructokinase, platelet"
"RAP2B",1.45512264915385,7.27484737779782e-10,"RAP2B, member of RAS oncogene family"
"HK2",1.54961514366667,7.54364603473266e-10,"hexokinase 2"
"ROBO1",1.76942674338462,7.74793929963017e-10,"roundabout guidance receptor 1"
"NPC1",1.47973302738461,7.94882875632583e-10,"NPC intracellular cholesterol transporter 1"
"EIF4G3",1.0306504638718,7.95248132039069e-10,"eukaryotic translation initiation factor 4 gamma 3"
"CD47",1.23568468748718,8.01917432108333e-10,"CD47 molecule"
"PTGIS",2.16688989346154,8.07578619836997e-10,"prostaglandin I2 synthase"
"MAP1B",1.77671418374359,8.07578619836997e-10,"microtubule associated protein 1B"
"KLK10",2.22112448220513,8.10242845531333e-10,"kallikrein related peptidase 10"
"DPY19L1",1.51425991323077,8.15728188784887e-10,"dpy-19 like C-mannosyltransferase 1"
